[01/22 22:09:27.543] | INFO     | watchdog   | main_reactor | Reactor Info: name rabbitmq_reactor empty True full False
[01/22 22:09:27.544] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[01/22 22:09:27.545] | INFO     | watchdog   | main_reactor | Reactor Info: name microcomm_reactor empty True full False
[01/22 22:09:27.545] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[01/22 22:09:27.545] | INFO     | watchdog   | main_reactor | Reactor Info: name credit_call_reactor empty True full False
[01/22 22:09:27.545] | CRITICAL | watchdog   | main_reactor | *** REACTORS INFO - END ***
[01/22 22:09:27.546] | CRITICAL | watchdog   | main_reactor | *** Top Output (cpu_load) - START ***
[01/22 22:09:27.546] | CRITICAL | watchdog   | main_reactor | 
top - 22:09:27 up  1:42,  0 users,  load average: 6.15, 5.22, 4.81
Tasks: 147 total,   1 running,  82 sleeping,   0 stopped,   0 zombie
%Cpu(s): 55.8 us, 11.9 sy,  0.0 ni, 32.2 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  4029392 total,  2573952 free,   942800 used,   512640 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  2661360 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1309 root      20   0 1120476 749532  59976 S 176.5 18.6 237:30.42 python
 2126 root      20   0  704364 252076  86496 S  11.8  6.3  25:12.04 python
24800 root      20   0    7956   3504   3096 R  11.8  0.1   0:00.03 top
 2042 root      20   0   64900  18484  12788 S   5.9  0.5   3:02.62 Xorg
    1 root      20   0    6664   5008   3676 S   0.0  0.1   0:18.68 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0.0  0.0   0:00.20 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:14.91 rcu_sched
   11 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 migration/0
   13 root      rt   0       0      0      0 S   0.0  0.0   0:00.02 watchdog/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0  0.0   0:00.03 watchdog/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.14 ksoftirqd/1
