[04/30 23:08:45.249] | INFO     | watchdog   | main_reactor | Reactor Info: name rabbitmq_reactor empty True full False
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | Reactor Info: name microcomm_reactor empty True full False
[04/30 23:08:45.250] | INFO     | watchdog   | main_reactor | *** REACTORS INFO - START ***
[04/30 23:08:45.251] | INFO     | watchdog   | main_reactor | Reactor Info: name credit_call_reactor empty True full False
[04/30 23:08:45.252] | CRITICAL | watchdog   | main_reactor | *** REACTORS INFO - END ***
[04/30 23:08:45.252] | CRITICAL | watchdog   | main_reactor | *** Top Output (cpu_load) - START ***
[04/30 23:08:45.253] | CRITICAL | watchdog   | main_reactor | 
top - 23:08:44 up 1 day,  4:59,  0 users,  load average: 6.63, 5.17, 5.05
Tasks: 190 total,   1 running, 123 sleeping,   0 stopped,   0 zombie
%Cpu(s): 57.5 us, 11.7 sy,  0.0 ni, 30.7 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  4029648 total,  2051284 free,  1075324 used,   903040 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  2502584 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1330 root      20   0 1199828 830000  59836 S 210.0 20.6   4207:23 python
 1716 root      20   0  745716 270440  89456 S 110.0  6.7 437:19.02 python
 9807 root      20   0    7956   3420   3004 R  10.0  0.1   0:00.03 top
 2006 root      20   0  181452  28356  17664 S   5.0  0.7   4:57.00 python
    1 root      20   0    6900   5392   3844 S   0.0  0.1   1:27.56 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.14 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0.0  0.0   0:01.92 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   4:13.90 rcu_sched
   11 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.73 migration/0
   13 root      rt   0       0      0      0 S   0.0  0.0   0:00.50 watchdog/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0  0.0   0:00.50 watchdog/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.75 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:01.24 ksoftirqd/1
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root      rt   0       0      0      0 S   0.0  0.0   0:00.48 watchdog/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.91 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:02.61 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
